nom;type;number_count;numbers
Rue Hélène Boucher;voie;2;1,2
Rue Hent Coz;voie;7;2,4,6,10,12,14,16
Rue Hoche;voie;23;1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,25
Rue Hyacinthe le Bleis;voie;8;1,2,3,4,5,6,7,9
Rue Jean Jacques Rousseau;voie;13;1,2,3,4,5,6,7,8,9,10,11,12,13
Rue Jean Jaurès;voie;42;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,39,41,43,45,47,49,51
Rue Jean Julien Lemordant;voie;11;1,2,3,4,5,6,7,8,9,10,12
Rue Jean Lautrédou;voie;44;2,3,4,5,6,7,9,11,12,14,15,16,18,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,38,39,40,41,42,43,44,45,46,47,48,50,52,54,56
Rue Jean le Berre;voie;15;2,3,4,6,7,9,10,11,12,13,14,15,16,17,18
Rue Jean Moulin;voie;35;1,2,3,4,5,7,8,9,11,13,15,16,17,18,19,21,22,23,24,25,26,27,28,29,31,33,35,37,39,41,43,47,49,51,53
Rue Jean Racine;voie;22;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,23,25,27
Rue Jeanne Bohec;voie;2;1,3
Rue Jeanne d’Arc;voie;44;2,3,4,6,7,8,10,12,14,16,18,20,22,23,24,25,26,28,29,31,32,33,34,35,37,39,40,41,43,44,45,46,47,48,50,51,52,53,55,56,57,58,59,60
Rue Jules Ferry;voie;5;1,2,4,6,8
Rue Jules Simon;voie;18;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Rue Kreis Ar Pin;voie;17;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Rue Laënnec;voie;12;1,2,3,4,5,6,8,10,12,14,16,18
Rue Lamartine;voie;23;1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23,24,26
Rue le Normant des Varannes;voie;7;1,2,3,4,5,6,7
Rue Leuquer Guéor;voie;25;1,2,3,4,5,6,7,8,9,10,11,12,13,15,17,19,21,23,25,27,29,31,33,35,37
Rue Louis Braille;voie;15;1,2,3,4,5,6,7,8,9,10,11,12,13,14,16
Rue Louis Hémon;voie;2;3,6
Rue Louis Lagadic;voie;49;2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,50,52,54
Rue Lucien Simon;voie;3;1,2,4
Rue Madame de Pompery;voie;30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,25,27,29,31,33,35,37,39
Rue Marçeau;voie;6;1,3,4,5,6,7
Rue Marcel Cariou;voie;10;4,5,6,7,8,9,11,12,14,16
Rue Marie Anne le Minor;voie;30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,26,28,30,32,34,36,38,40
Rue Marie Curie;voie;5;1,2,3,4,5
Rue Marie de Kerstrat;voie;1;1
Rue Mathurin Méheut;voie;3;2,4,6
Rue Menez Ar Piquet;voie;19;1,2,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,22
Rue Michelet;voie;16;3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,20
Rue Molière;voie;12;1,2,3,4,5,6,7,8,10,12,14,16
Rue Monseigneur Jolivet;voie;30;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31
Rue Nicolas Laine;voie;26;1,3,5,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,32
Rue Nicolas;voie;7;1,2,3,4,5,6,7
Rue Noire;voie;6;1,3,7,9,11,13
Rue Nominöé;voie;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Rue Odette du Puigaudeau;voie;21;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22
Rue Parc Boreden;voie;11;1,2,3,4,5,6,7,8,10,11,13
Rue Pasteur;voie;33;1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,36,38
Rue Paul Verlaine;voie;10;1,2,3,4,5,6,7,9,11,13
Rue Pen Enez;voie;26;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,23,25,27,29,31,33
Rue Per Jakez Helias;voie;49;1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68
Rue Peronnelle de Rochefort;voie;4;2,4,5,8
Rue Pierre Corneille;voie;9;1,2,3,4,5,6,7,9,11
Rue Pierre de Belay;voie;21;1,2,3,4,5,6,7,8,10,11,12,13,14,16,18,20,22,24,28,30,32
Rue Pierre Loti;voie;6;1,2,3,4,6,8
Rue Pierre Teilhard de Chardin;voie;13;1,2,3,4,5,6,7,8,9,10,12,14,16
Rue Pierre Theilard de Chardin;voie;6;1,3,8,9,10,14
Rue Pierre Volant;voie;33;1,3,4,5,6,8,9,10,12,13,14,15,16,17,18,19,20,22,24,26,28,30,34,36,38,40,42,44,46,48,50,52,54
