nom;type;tournee;number_count;numbers
Rue des Tamaris;voie;;6;1,2,3,4,5,6
Rue du 8 Mai 1945;voie;;14;1,2,3,4,5,6,7,8,10,12,14,16,18,20
Rue du Bac;voie;;13;1,3,5,7,9,11,13,15,17,19,21,23,25
Rue du Docteur Fernand Chauvel;voie;;13;1,2,3,4,5,6,7,8,10,12,14,16,20
Rue du General de Gaulle;voie;;20;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,21,23
Rue du Grand Bourg;voie;;25;1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,25,27,29
Rue du Lieutenant Colonel Genin;voie;;6;1,2,3,5,9,11
Rue du Ménez;voie;;33;1,2,3,4,5,6,10,12,14,16,18,20,21,22,24,26,28,30,32,36,38,40,42,44,46,48,50,52,54,56,58,60,62
Rue du Petit Bourg;voie;;85;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,58,59,60,61,62,63,64,65,66,67,71,73,74,75,77,79,80,81,82,83,84,85,87,89,91,93,95,97,99,101,103
Rue du Phare;voie;;51;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,47,50,52,56,58,60
rue du Sablier Louise Jean;voie;;6;1,2,3,4,5,7
Rue du Stade;voie;;13;1,2,3,4,5,6,7,8,9,10,12,13,14
Rue du Verger;voie;;11;1,2,3,4,5,6,7,9,11,13,15
Rue du Vieux Glénan;voie;;5;1,2,4,6,8
Rue Georges Pompidou;voie;;16;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17
Rue Gustave Toudouze;voie;;21;9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31
rue Isidore Le Bechennec;voie;;21;1,2,3,4,5,6,7,8,9,10,11,12,23,25,27,29,31,33,35,37,39
rue Jean Louis PERON;voie;;18;1,2,3,4,5,6,7,8,9,10,11,13,15,17,19,21,23,25
Rue Jean-Marie le Bris;voie;;24;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Rue Laënnec;voie;;22;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Rue Louis Garin;voie;;18;1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,19,20
Rue Lucien Simon;voie;;25;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,23,25,27,29,31
Rue Malakoff;voie;;8;1,2,3,4,6,7,9,11
Rue Marcel Scuiller;voie;;21;1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,18,19,21,23,25,27
Rue Pen Morvan;voie;;6;1,3,4,5,7,9
Rue Penn Uhel;voie;;14;1,2,3,4,5,6,7,8,9,10,11,12,14,16
Rue Per Jakez Helias;voie;;5;1,2,3,4,6
Rue Pierre Gourlaouen;voie;;25;1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Rue Pierre Schoendoerffer;voie;;33;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,31,33,35,37,39
Rue Poul Ar Ven Dero;voie;;18;3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,23
Rue Robert Diquelou;voie;;8;1,2,3,4,5,6,7,8
Rue Sant Thual;voie;;7;2,4,5,6,7,8,9
rue Simone Veil;voie;;15;1,2,17,19,20,21,22,23,24,25,26,27,28,29,30
Rue Xavier Grall;voie;;9;1,2,3,4,5,6,7,8,9
Saint Vennec;voie;;1;1
Sentier du Roz;voie;;4;1,2,3,4
Touligaoun;voie;;1;1
Tremic;voie;;2;1,2
Treustel Goz;voie;;11;1,2,3,4,5,6,7,9,11,13,15
Treveon Huella;voie;;1;1
Treveon Vihan;voie;;1;1
Tromarzin;voie;;5;2,4,6,8,10
Ty Conan;voie;;8;1,2,3,4,6,7,8,9
Ty Lene;voie;;1;1
Ty Robin;voie;;10;1,2,3,4,5,6,7,8,9,11
Zone Artisanale Kerbenoen;voie;;40;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,34,36,38,40,42,44,46,48,50
Dilae;lieux-dit;;0;
Kergulan;lieux-dit;;0;
Kerlorgant;lieux-dit;;0;
Kermor Braz;lieux-dit;;0;
Le Grand Bourg;lieux-dit;;0;
Le Léoc;lieux-dit;;0;
Le Roz;lieux-dit;;0;
Le Stang;lieux-dit;;0;
Le Treustel;lieux-dit;;0;
Lotissement de Keranguel;lieux-dit;;0;
Menez Noaz;lieux-dit;;0;
Moguer;lieux-dit;;0;
Perrien Bonis;lieux-dit;;0;
Ty Rhu;lieux-dit;;0;
