Code Postal / CEDEX;Libellé;Code INSEE;Type de code;Nom de la commune;Nom du département;NOM EPCI;Nom de la région
60018;BEAUVAIS CEDEX;60057;Code CEDEX;Beauvais;OISE;CA du Beauvaisis;HAUTS-DE-FRANCE
63407;CHAMALIERES CEDEX;63075;Code CEDEX;Chamalières;PUY-DE-DOME;Clermont Auvergne Métropole;AUVERGNE-RHONE-ALPES
63407;CHAMALIERES CEDEX;63308;Code CEDEX;Royat;PUY-DE-DOME;Clermont Auvergne Métropole;AUVERGNE-RHONE-ALPES
65003;TARBES CEDEX;65440;Code CEDEX;Tarbes;HAUTES-PYRENEES;CA Tarbes-Lourdes-Pyrénées;OCCITANIE
69215;LYON CEDEX 02;69382;Code CEDEX;;;;
73152;VAL D ISERE CEDEX;73304;Code CEDEX;Val-d'Isère;SAVOIE;CC de Haute-Tarentaise;AUVERGNE-RHONE-ALPES
13832;CHATEAURENARD CEDEX;13027;Code CEDEX;Châteaurenard;BOUCHES-DU-RHONE;CA Terre de Provence;PROVENCE-ALPES-COTE D'AZUR
14126;MONDEVILLE CEDEX;14437;Code CEDEX;Mondeville;CALVADOS;CU Caen la Mer;NORMANDIE
36007;CHATEAUROUX CEDEX;36044;Code CEDEX;Châteauroux;INDRE;CA Châteauroux Métropole;CENTRE-VAL DE LOIRE
36025;CHATEAUROUX CEDEX;36044;Code CEDEX;Châteauroux;INDRE;CA Châteauroux Métropole;CENTRE-VAL DE LOIRE
48009;MENDE CEDEX;48095;Code CEDEX;Mende;LOZERE;CC Coeur de Lozère;OCCITANIE
51001;CHALONS EN CHAMPAGNE CEDEX;51504;Code CEDEX;Saint-Martin-sur-le-Pré;MARNE;CA de Châlons-en-Champagne;GRAND EST
51001;CHALONS EN CHAMPAGNE CEDEX;51108;Code CEDEX;Châlons-en-Champagne;MARNE;CA de Châlons-en-Champagne;GRAND EST
53009;LAVAL CEDEX;53054;Code CEDEX;Changé;MAYENNE;CA Laval Agglomération;PAYS DE LA LOIRE
53009;LAVAL CEDEX;53130;Code CEDEX;Laval;MAYENNE;CA Laval Agglomération;PAYS DE LA LOIRE
54205;TOUL CEDEX;54528;Code CEDEX;Toul;MEURTHE-ET-MOSELLE;CC Terres Touloises;GRAND EST
54205;TOUL CEDEX;54174;Code CEDEX;Écrouves;MEURTHE-ET-MOSELLE;CC Terres Touloises;GRAND EST
59411;COUDEKERQUE BRANCHE CEDEX;59155;Code CEDEX;Coudekerque-Branche;NORD;CU de Dunkerque;HAUTS-DE-FRANCE
66041;PERPIGNAN CEDEX;66136;Code CEDEX;Perpignan;PYRENEES-ORIENTALES;CU Perpignan Méditerranée Métropole;OCCITANIE
94224;CHARENTON LE PONT CEDEX;94018;Code CEDEX;Charenton-le-Pont;VAL-DE-MARNE;Métropole du Grand Paris;ILE-DE-FRANCE
94587;RUNGIS CEDEX 2;94065;Code CEDEX;Rungis;VAL-DE-MARNE;Métropole du Grand Paris;ILE-DE-FRANCE
